WAVEHEIGHT,WAVEDFROM,WAVEPERIOD,LAT,LNG,TIME,SEANAME,RISK,CELLSYSID
2.6,东东北,6.5,20.75,116.75,2020-3-6 14:00,南海东北部,22,405
2.6,东东北,6.5,20.75,117.25,2020-3-6 14:00,南海东北部,22,406
2.5,东东北,6.8,19.75,113.25,2020-3-6 14:00,南海西北部,20,450
2.5,东东北,6.8,19.75,113.75,2020-3-6 14:00,南海西北部,20,451
2.6,东东北,6.8,19.75,114.25,2020-3-6 14:00,南海西北部,22,452
1.1,南西南,4,38.75,122.25,2020-3-6 14:00,黄海北部,8.8,43
1.2,南西南,4,38.75,122.75,2020-3-6 14:00,黄海北部,9.6,44
1.2,南西南,3.9,38.75,123.25,2020-3-6 14:00,黄海北部,9.6,45
0.5,西南,2.6,36.25,123.75,2020-3-6 14:00,黄海中部,4,89
0.8,南东南,3.2,35.75,119.75,2020-3-6 14:00,黄海中部,6.4,90
0.9,南,3.3,35.75,120.25,2020-3-6 14:00,黄海中部,7.2,91
0.6,东南,2.3,33.25,120.75,2020-3-6 14:00,亭湖近岸海域,4.8,136
0.6,东南,2.5,33.25,121.25,2020-3-6 14:00,亭湖近岸海域,4.8,137
0.9,北东北,5,30.75,124.25,2020-3-6 14:00,东海西北部,7.2,180
0.9,北东北,5.3,30.75,124.75,2020-3-6 14:00,东海西北部,7.2,181
0.5,东东南,2.3,30.25,121.25,2020-3-6 14:00,平湖近岸海域,4,182
0.7,东南,2.6,30.25,121.75,2020-3-6 14:00,洋山近岸海域,5.6,183
0.7,东,5.6,27.25,120.75,2020-3-6 14:00,福鼎近岸海域,5.6,226
1,东,5.7,27.25,121.25,2020-3-6 14:00,台山列岛近岸海域,8,227
1.1,东东北,5.8,27.25,121.75,2020-3-6 14:00,东海西南部,8.8,228
1.5,东北,6.1,25.25,123.25,2020-3-6 14:00,台湾以东洋面,12,271
1.6,东北,6.3,25.25,123.75,2020-3-6 14:00,台湾以东洋面,12.8,272
1.5,东北,5,22.75,117.75,2020-3-6 14:00,南海东北部,12,315
1.4,东北,4.9,22.75,118.25,2020-3-6 14:00,台湾海峡,11.2,316
1.4,东北,4.8,22.75,118.75,2020-3-6 14:00,台湾海峡,11.2,317
1.1,北东北,4.3,22.75,119.25,2020-3-6 14:00,台湾海峡,8.8,318
0.8,东南,3.2,21.25,108.75,2020-3-6 14:00,北部湾,6.4,362
0.5,东南,2.8,21.25,109.25,2020-3-6 14:00,北部湾,4,363
2.5,东东北,6.4,20.75,117.75,2020-3-6 14:00,南海东北部,20,407
2.5,东东北,6.2,20.75,118.25,2020-3-6 14:00,南海东北部,20,408
2.6,东东北,6.1,20.75,118.75,2020-3-6 14:00,南海东北部,22,409
2.7,东东北,6.8,19.75,114.75,2020-3-6 14:00,南海东北部,24,453
2.8,东东北,6.7,19.75,115.25,2020-3-6 14:00,南海东北部,26,454
2.8,东东北,6.7,19.75,115.75,2020-3-6 14:00,南海东北部,26,455
0.9,南,3.2,40.75,120.75,2020-3-6 14:00,渤海,7.2,1
1.2,南西南,3.9,38.75,123.75,2020-3-6 14:00,黄海北部,9.6,46
0.4,南东南,2.3,38.25,117.75,2020-3-6 14:00,渤海,3.2,47
0.9,南,3.2,35.75,120.75,2020-3-6 14:00,黄海中部,7.2,92
0.9,南,3.3,35.75,121.25,2020-3-6 14:00,黄海中部,7.2,93
0.9,南西南,3.2,35.75,121.75,2020-3-6 14:00,黄海中部,7.2,94
0.8,东南,3.1,33.25,121.75,2020-3-6 14:00,亭湖近岸海域,6.4,138
0.8,东南,3.2,33.25,122.25,2020-3-6 14:00,黄海南部,6.4,139
0.7,东东南,3.2,33.25,122.75,2020-3-6 14:00,黄海南部,5.6,140
0.4,东南,2.1,30.25,122.25,2020-3-6 14:00,洋山近岸海域,3.2,184
0.7,东,3.7,30.25,122.75,2020-3-6 14:00,岱山近岸海域,5.6,185
1.2,东东北,5.8,27.25,122.25,2020-3-6 14:00,东海西南部,9.6,229
1.3,东北,5.8,27.25,122.75,2020-3-6 14:00,东海西南部,10.4,230
1,东东北,4.2,24.75,118.75,2020-3-6 14:00,惠安县近岸海域,8,273
1.4,东东北,4.7,24.75,119.25,2020-3-6 14:00,秀屿区近岸海域,11.2,274
1.6,东北,5.2,24.75,119.75,2020-3-6 14:00,秀屿区近岸海域,12.8,275
1,北,4.4,22.75,119.75,2020-3-6 14:00,台湾海峡,8,319
0.2,西西北,2.2,22.75,120.25,2020-3-6 14:00,台湾海峡,1.6,320
0.4,东南,1.9,21.25,109.75,2020-3-6 14:00,北部湾,3.2,364
1.2,东东南,4.4,21.25,110.75,2020-3-6 14:00,南海西北部,9.6,365
1.5,东东南,5,21.25,111.25,2020-3-6 14:00,南海西北部,12,366
2.6,东东北,6,20.75,119.25,2020-3-6 14:00,南海东北部,22,410
2.6,东东北,6,20.75,119.75,2020-3-6 14:00,南海东北部,22,411
0.5,东,3.6,20.25,106.75,2020-3-6 14:00,北部湾,4,412
2.9,东东北,6.7,19.75,116.25,2020-3-6 14:00,南海东北部,28,456
3,东东北,6.7,19.75,116.75,2020-3-6 14:00,南海东北部,30,457
3,东东北,6.6,19.75,117.25,2020-3-6 14:00,南海东北部,30,458
0.9,南西南,3,40.75,121.25,2020-3-6 14:00,渤海,7.2,2
0.5,南,2.1,40.75,121.75,2020-3-6 14:00,渤海,4,3
0.3,南,2,38.25,118.25,2020-3-6 14:00,渤海,2.4,48
0.3,南东南,2.4,38.25,118.75,2020-3-6 14:00,渤海,2.4,49
1.2,南东南,3.7,38.25,119.25,2020-3-6 14:00,渤海,9.6,50
1.1,南,3.7,38.25,119.75,2020-3-6 14:00,渤海,8.8,51
0.8,南西南,3.1,35.75,122.25,2020-3-6 14:00,黄海中部,6.4,95
0.7,南西南,2.9,35.75,122.75,2020-3-6 14:00,黄海中部,5.6,96
0.6,南西南,2.6,35.75,123.25,2020-3-6 14:00,黄海中部,4.8,97
0.6,东东北,3.2,33.25,123.25,2020-3-6 14:00,黄海南部,4.8,141
0.5,东北,3.5,33.25,123.75,2020-3-6 14:00,黄海南部,4,142
0.5,北东北,4.2,33.25,124.25,2020-3-6 14:00,黄海南部,4,143
1,东北,4.6,30.25,123.25,2020-3-6 14:00,嵊山近岸海域,8,186
0.9,东北,4.9,30.25,123.75,2020-3-6 14:00,东海西北部,7.2,187
0.9,北东北,5.1,30.25,124.25,2020-3-6 14:00,东海西北部,7.2,188
1.3,东北,6,27.25,123.25,2020-3-6 14:00,东海西南部,10.4,231
1.3,东北,6,27.25,123.75,2020-3-6 14:00,东海西南部,10.4,232
1.3,北东北,6,27.25,124.25,2020-3-6 14:00,东海西南部,10.4,233
1.6,东北,5.2,24.75,120.25,2020-3-6 14:00,台湾海峡,12.8,276
1.1,北东北,4.4,24.75,120.75,2020-3-6 14:00,台湾海峡,8.8,277
1.5,东东北,6.1,24.75,121.75,2020-3-6 14:00,台湾以东洋面,12,278
1.8,东东北,7,22.75,121.25,2020-3-6 14:00,台湾以东洋面,14.4,321
2.3,东东北,7,22.75,121.75,2020-3-6 14:00,台湾以东洋面,18.4,322
2.4,东东北,6.8,22.75,122.25,2020-3-6 14:00,台湾以东洋面,19.2,323
1.6,东东南,5.4,21.25,111.75,2020-3-6 14:00,南海西北部,12.8,367
1.7,东,5.6,21.25,112.25,2020-3-6 14:00,南海西北部,13.6,368
0.5,东,3.5,20.25,107.25,2020-3-6 14:00,北部湾,4,413
0.6,东,3.8,20.25,107.75,2020-3-6 14:00,北部湾,4.8,414
0.6,东,3.4,20.25,108.25,2020-3-6 14:00,北部湾,4.8,415
3,东东北,6.6,19.75,117.75,2020-3-6 14:00,南海东北部,30,459
2.9,东东北,6.5,19.75,118.25,2020-3-6 14:00,南海东北部,28,460
0.7,西南,2.7,40.75,122.25,2020-3-6 14:00,渤海,5.6,4
1.2,南西南,3.9,40.25,120.25,2020-3-6 14:00,渤海,9.6,5
1.3,南西南,3.9,40.25,120.75,2020-3-6 14:00,渤海,10.4,6
0.9,南西南,3.5,38.25,120.25,2020-3-6 14:00,渤海,7.2,52
0.8,西南,3.7,38.25,120.75,2020-3-6 14:00,渤海,6.4,53
0.4,南西南,2.3,35.75,123.75,2020-3-6 14:00,黄海中部,3.2,98
0.6,东东南,2.8,35.25,119.25,2020-3-6 14:00,黄海中部,4.8,99
0.8,东南,3.1,35.25,119.75,2020-3-6 14:00,黄海中部,6.4,100
0.5,北,4.4,33.25,124.75,2020-3-6 14:00,黄海南部,4,144
0.6,东南,2.5,32.75,121.25,2020-3-6 14:00,东台近岸海域,4.8,145
0.9,东南,3.2,32.75,121.75,2020-3-6 14:00,东台近岸海域,7.2,146
0.9,北东北,5.4,30.25,124.75,2020-3-6 14:00,东海西北部,7.2,189
0.5,东东南,3,29.75,122.25,2020-3-6 14:00,北仑北部近岸海域,4,190
1.3,北东北,6,27.25,124.75,2020-3-6 14:00,台湾以东洋面,10.4,234
0.6,东,5.1,26.75,120.25,2020-3-6 14:00,福鼎近岸海域,4.8,235
1,东,5.6,26.75,120.75,2020-3-6 14:00,台山列岛近岸海域,8,236
1.7,东北,6.1,24.75,122.25,2020-3-6 14:00,台湾以东洋面,13.6,279
1.6,东北,6,24.75,122.75,2020-3-6 14:00,台湾以东洋面,12.8,280
1.5,东北,5.9,24.75,123.25,2020-3-6 14:00,台湾以东洋面,12,281
0.5,东东南,2.3,22.25,113.75,2020-3-6 14:00,南海西北部,4,324
1.1,东,4.4,22.25,114.25,2020-3-6 14:00,南海西北部,8.8,325
1.7,东,5.5,22.25,114.75,2020-3-6 14:00,南海东北部,13.6,326
1.9,东,6,21.25,112.75,2020-3-6 14:00,南海西北部,15.2,369
2,东,6.2,21.25,113.25,2020-3-6 14:00,南海西北部,16,370
2.1,东,6.2,21.25,113.75,2020-3-6 14:00,南海西北部,16.8,371
2.2,东,6.3,21.25,114.25,2020-3-6 14:00,南海西北部,17.6,372
0.5,东,3.1,20.25,108.75,2020-3-6 14:00,北部湾,4,416
0.6,东,2.7,20.25,109.25,2020-3-6 14:00,北部湾,4.8,417
0.6,东,2.5,20.25,109.75,2020-3-6 14:00,南海西北部,4.8,418
2.9,东北,6.4,19.75,118.75,2020-3-6 14:00,南海东北部,28,461
3,东北,6.4,19.75,119.25,2020-3-6 14:00,南海东北部,30,462
0.5,东东北,3.7,19.25,106.25,2020-3-6 14:00,北部湾,4,463
1.3,南西南,3.9,40.25,121.25,2020-3-6 14:00,渤海,10.4,7
1.1,西南,3.7,40.25,121.75,2020-3-6 14:00,渤海,8.8,8
0.7,西南,2.8,40.25,122.25,2020-3-6 14:00,渤海,5.6,9
0.8,南西南,3.2,38.25,121.25,2020-3-6 14:00,渤海,6.4,54
0.8,南西南,3.3,38.25,121.75,2020-3-6 14:00,黄海北部,6.4,55
0.9,南西南,3.6,38.25,122.25,2020-3-6 14:00,黄海北部,7.2,56
0.9,南东南,3.3,35.25,120.25,2020-3-6 14:00,黄海中部,7.2,101
0.9,南,3.3,35.25,120.75,2020-3-6 14:00,黄海中部,7.2,102
0.9,南,3.3,35.25,121.25,2020-3-6 14:00,黄海中部,7.2,103
0.8,东东南,3.4,32.75,122.25,2020-3-6 14:00,如东近岸海域,6.4,147
0.7,东,3.4,32.75,122.75,2020-3-6 14:00,黄海南部,5.6,148
0.7,东东北,3.4,32.75,123.25,2020-3-6 14:00,黄海南部,5.6,149
0.8,东,4.2,29.75,122.75,2020-3-6 14:00,普陀近岸海域,6.4,191
1,东北,4.9,29.75,123.25,2020-3-6 14:00,东极近岸海域,8,192
1,东北,5.2,29.75,123.75,2020-3-6 14:00,东海西北部,8,193
1.2,东东北,5.8,26.75,121.25,2020-3-6 14:00,台山列岛近岸海域,9.6,237
1.3,东东北,5.9,26.75,121.75,2020-3-6 14:00,东海西南部,10.4,238
1,东,4.9,24.25,118.25,2020-3-6 14:00,厦门近岸海域,8,282
1.6,东东北,5.4,24.25,118.75,2020-3-6 14:00,金门近海海域,12.8,283
1.7,东北,5.4,24.25,119.25,2020-3-6 14:00,石狮市近岸海域,13.6,284
1.8,东,5.5,22.25,115.25,2020-3-6 14:00,南海东北部,14.4,327
1.8,东,5.5,22.25,115.75,2020-3-6 14:00,南海东北部,14.4,328
1.8,东东北,5.6,22.25,116.25,2020-3-6 14:00,南海东北部,14.4,329
2.2,东,6.3,21.25,114.75,2020-3-6 14:00,南海东北部,17.6,373
2.3,东东北,6.4,21.25,115.25,2020-3-6 14:00,南海东北部,18.4,374
2.3,东东北,6.4,21.25,115.75,2020-3-6 14:00,南海东北部,18.4,375
0.6,东,3.1,20.25,110.25,2020-3-6 14:00,南海西北部,4.8,419
1.4,东,5.4,20.25,110.75,2020-3-6 14:00,南海西北部,11.2,420
2,东,6.2,20.25,111.25,2020-3-6 14:00,南海西北部,16,421
0.6,东东北,3.4,19.25,106.75,2020-3-6 14:00,北部湾,4.8,464
0.8,东东南,3.9,19.25,107.25,2020-3-6 14:00,北部湾,6.4,465
1,东南,3.6,19.25,107.75,2020-3-6 14:00,北部湾,8,466
0.9,南,3.5,39.75,119.25,2020-3-6 14:00,渤海,7.2,10
1.2,南,4,39.75,119.75,2020-3-6 14:00,渤海,9.6,11
1.4,南西南,4.2,39.75,120.25,2020-3-6 14:00,渤海,11.2,12
1.1,南,3.6,38.25,122.75,2020-3-6 14:00,黄海北部,8.8,57
1.1,南西南,3.6,38.25,123.25,2020-3-6 14:00,黄海北部,8.8,58
1,西南,3.6,38.25,123.75,2020-3-6 14:00,黄海北部,8,59
0.9,南,3.2,35.25,121.75,2020-3-6 14:00,黄海中部,7.2,104
0.7,南西南,3,35.25,122.25,2020-3-6 14:00,黄海中部,5.6,105
0.6,南西南,2.8,35.25,122.75,2020-3-6 14:00,黄海中部,4.8,106
0.6,东北,3.7,32.75,123.75,2020-3-6 14:00,黄海南部,4.8,150
0.6,北东北,4.3,32.75,124.25,2020-3-6 14:00,黄海南部,4.8,151
0.6,北,4.6,32.75,124.75,2020-3-6 14:00,黄海南部,4.8,152
1,北东北,5.4,29.75,124.25,2020-3-6 14:00,东海西北部,8,194
1,北东北,5.5,29.75,124.75,2020-3-6 14:00,东海西北部,8,195
0.7,东,4.1,29.25,122.25,2020-3-6 14:00,象山东部近岸海域,5.6,196
1.4,东东北,5.8,26.75,122.25,2020-3-6 14:00,东海西南部,11.2,239
1.4,东北,5.9,26.75,122.75,2020-3-6 14:00,东海西南部,11.2,240
1.4,东北,6,26.75,123.25,2020-3-6 14:00,东海西南部,11.2,241
1.6,北东北,5.1,24.25,119.75,2020-3-6 14:00,台湾海峡,12.8,285
1.4,北东北,4.7,24.25,120.25,2020-3-6 14:00,台湾海峡,11.2,286
1.9,东东北,5.6,22.25,116.75,2020-3-6 14:00,南海东北部,15.2,330
1.8,东东北,5.5,22.25,117.25,2020-3-6 14:00,南海东北部,14.4,331
1.8,东东北,5.4,22.25,117.75,2020-3-6 14:00,南海东北部,14.4,332
2.3,东东北,6.4,21.25,116.25,2020-3-6 14:00,南海东北部,18.4,376
2.3,东东北,6.3,21.25,116.75,2020-3-6 14:00,南海东北部,18.4,377
2.2,东,6.3,20.25,111.75,2020-3-6 14:00,南海西北部,17.6,422
2.3,东,6.4,20.25,112.25,2020-3-6 14:00,南海西北部,18.4,423
0.7,南东南,3.3,19.25,108.25,2020-3-6 14:00,北部湾,5.6,467
1.9,东,6.2,19.25,110.75,2020-3-6 14:00,南海中西北部,15.2,468
2.2,东,6.6,19.25,111.25,2020-3-6 14:00,南海中西北部,17.6,469
1.4,南西南,4.3,39.75,120.75,2020-3-6 14:00,渤海,11.2,13
